======================================================================================================================================================
LOG DE MUDANÇAS DE ESTADO DOS PROCESSOS
Formato: [Tempo] PID | Nome | Razão | Estado Inicial -> Próximo Estado | Tabela de Páginas
======================================================================================================================================================

[21:56:15.155] PID: 1   | fatorialV2      | Criação do processo  | nulo       -> READY      | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:_,loc:_], [pag:2,frame:_,loc:_] }
[21:56:15.167] PID: 1   | fatorialV2      | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:_,loc:_], [pag:2,frame:_,loc:_] }
[21:56:15.176] PID: 2   | progMinimo      | Criação do processo  | nulo       -> READY      | TabPag: { [pag:0,frame:8,loc:mp], [pag:1,frame:_,loc:_] }
[21:56:15.176] PID: 3   | fibonacci10     | Criação do processo  | nulo       -> READY      | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:_,loc:_], [pag:2,frame:_,loc:_], [pag:3,frame:_,loc:_] }
[21:56:15.179] PID: 1   | fatorialV2      | Page Fault (carregando pág 1) | RUNNING    -> BLOCKED    | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:_,loc:_], [pag:2,frame:_,loc:_] }
[21:56:15.230] PID: 2   | progMinimo      | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:8,loc:mp], [pag:1,frame:_,loc:_] }
[21:56:15.232] PID: 2   | progMinimo      | Page Fault (carregando pág 1) | RUNNING    -> BLOCKED    | TabPag: { [pag:0,frame:8,loc:mp], [pag:1,frame:_,loc:_] }
[21:56:15.294] PID: 3   | fibonacci10     | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:_,loc:_], [pag:2,frame:_,loc:_], [pag:3,frame:_,loc:_] }
[21:56:15.296] PID: 3   | fibonacci10     | Page Fault (carregando pág 1) | RUNNING    -> BLOCKED    | TabPag: { [pag:0,frame:16,loc:mp], [pag:1,frame:_,loc:_], [pag:2,frame:_,loc:_], [pag:3,frame:_,loc:_] }
[21:56:15.394] PID: 1   | fatorialV2      | Fim Page Fault (pág 1 carregada) | BLOCKED    -> READY      | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:24,loc:mp], [pag:2,frame:_,loc:_] }
[21:56:15.421] PID: 1   | fatorialV2      | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:24,loc:mp], [pag:2,frame:_,loc:_] }
[21:56:15.427] PID: 1   | fatorialV2      | Page Fault (carregando pág 2) | RUNNING    -> BLOCKED    | TabPag: { [pag:0,frame:0,loc:mp], [pag:1,frame:24,loc:mp], [pag:2,frame:_,loc:_] }
[21:56:15.596] PID: 2   | progMinimo      | Fim Page Fault (pág 1 carregada) | BLOCKED    -> READY      | TabPag: { [pag:0,frame:8,loc:mp], [pag:1,frame:32,loc:mp] }
[21:56:15.612] PID: 2   | progMinimo      | Escalonamento        | READY      -> RUNNING    | TabPag: { [pag:0,frame:8,loc:mp], [pag:1,frame:32,loc:mp] }
